company_id,company_name,indicator_id,category,indicator_name,raw_value,raw_unit,period,business_scope,geography,source_id,source_title,source_page,source_url,source_table_title,source_text,assurance,scope_mismatch,availability,data_confidence,risk_direction,note,target_value,target_unit,target_year,baseline_value,baseline_year,target_source_id
000660,SK하이닉스,S03,S,자발적 이직률(전체),0.5,%,2025,consolidated,Korea,SRC-0014,SK hynix Sustainability Report 2026 (ENG),111,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Voluntary turnover rate,,unknown,False,available,high,higher_is_worse,"행14, 2022-2025 시리즈와 교차검증",,,,,,
005930,삼성전자,S03,S,이직률(전체),10.6,%,2023,consolidated,global,SRC-0012,Samsung Electronics Sustainability Report 2026 (ENG),65,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,Total retirement rate,,unknown,True,available,medium,higher_is_worse,"주의: SK는 '자발적 이직률', 삼성은 '전체 이직률(자발+비자발 포함 추정)' - 정의 확인 필요, not_comparable 후보 | business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용",,,,,,
005930,삼성전자,S03,S,이직률(전체),10.1,%,2024,consolidated,global,SRC-0012,Samsung Electronics Sustainability Report 2026 (ENG),65,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,Total retirement rate,,unknown,True,available,medium,higher_is_worse,"주의: SK는 '자발적 이직률', 삼성은 '전체 이직률(자발+비자발 포함 추정)' - 정의 확인 필요, not_comparable 후보 | business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용",,,,,,
005930,삼성전자,S03,S,이직률(전체),8.6,%,2025,consolidated,global,SRC-0012,Samsung Electronics Sustainability Report 2026 (ENG),65,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,Total retirement rate,,unknown,True,available,medium,higher_is_worse,"주의: SK는 '자발적 이직률', 삼성은 '전체 이직률(자발+비자발 포함 추정)' - 정의 확인 필요, not_comparable 후보 | 추가지표(2025): R&D인력비중 34.4%(89,150/259,149명), 1인당 교육시간 61.9시간(Global) | business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용",,,,,,
005930,삼성전자,S04,S,개인정보 법률관리 컨설팅 건수,8897,건,2025,consolidated,global,SRC-0012,Samsung Electronics Sustainability Report 2026 (ENG),53,https://images.samsung.com/is/content/samsung/assets/global/ir/docs/Samsung_Electronics_Sustainability_Report_2026_ENG.pdf,PLMS consulting cases,,unknown,True,available,medium,higher_is_better,정량 실적 지표 | business_scope=consolidated(원문 DX+DS 또는 전사단위)로 스키마 규칙상 scope_mismatch=true 강제 적용,,,,,,
000660,SK하이닉스,S04,S,정보보안 관리체계 인증,1,boolean,2024,consolidated,Korea,SRC-0004,SK hynix Sustainability Report 2024 (ENG),55,https://www.skhynix.com/sustainability/UI-FR-SA1601/,ISO certification status,,unknown,False,available,medium,qualitative,"ISO/IEC 27001 인증(정보보안)(정성적 지표, 비교시 삼성 정량지표와 성격 상이) | Y(인증완료)=1로 인코딩(스키마상 raw_value는 숫자만 허용)",,,,,,
000660,SK하이닉스,S04,S,정보보안 관리체계 인증,1,boolean,2025,consolidated,Korea,SRC-0013,SK hynix Sustainability Report 2025 (ENG),64,https://www.skhynix.com/sustainability/UI-FR-SA1601/,ISO certification status,,unknown,False,available,medium,qualitative,"ISO/IEC 27001 인증(정성적 지표, 비교시 삼성 정량지표와 성격 상이) | Y(인증완료)=1로 인코딩(스키마상 raw_value는 숫자만 허용)",,,,,,
000660,SK하이닉스,S04,S,정보보안 관리체계 인증,1,boolean,2026,consolidated,Korea,SRC-0014,SK hynix Sustainability Report 2026 (ENG),89,https://www.skhynix.com/sustainability/UI-FR-SA1601/,ISO certification status,,unknown,False,available,medium,qualitative,"ISO/IEC 27001+27701 인증(정성적 지표, 비교시 삼성 정량지표와 성격 상이) | Y(인증완료)=1로 인코딩(스키마상 raw_value는 숫자만 허용)",,,,,,
000660,SK하이닉스,S04,S,보안교육 이수율,100,%,2023,consolidated,Korea,SRC-0004,SK hynix Sustainability Report 2024 (ENG),56,https://www.skhynix.com/sustainability/UI-FR-SA1601/,Online industrial security training completion rate,,unknown,False,available,high,higher_is_better,Online industrial security training completion rate 표 원문 값 (source_page 56 참고),,,,,,
000660,SK하이닉스,S05,S,책임광물(RMAP) 제3자 인증률,100,%,2024,consolidated,global,SRC-0013,SK hynix Sustainability Report 2025 (ENG),45,https://www.skhynix.com/sustainability/UI-FR-SA1601/,RMAP certification rate,,unknown,False,available,medium,higher_is_better,"삼성전자는 별도 Responsible Minerals Report(외부문서)로 위임, 이 보고서엔 수치 없음(unavailable)",,,,,,
